Fluid,Type,Rho_reduced,Temp_reduced,D_reduced,Ref.
Cyclohexane,C6H12,1.024972058,2.082576407,11.00801715,"Angelis et al., 2025"
Cyclohexane,C6H12,0.906402026,1.373803023,11.12464069,"Angelis et al., 2025"
Cyclohexane,C6H12,0.931998096,1.956024192,15.99763688,"Angelis et al., 2025"
Cyclohexane,C6H12,0.813428064,1.829399988,26.93474596,"Angelis et al., 2025"
Cyclohexane,C6H12,0.968510138,1.277683505,6.807581992,"Angelis et al., 2025"
Cyclohexane,C6H12,1.031559282,1.538885936,5.948111983,"Angelis et al., 2025"
Cyclohexane,C6H12,0.73155828,1.775484206,36.19460734,"Angelis et al., 2025"
Cyclohexane,C6H12,0.758283588,2.006073668,39.43300603,"Angelis et al., 2025"
Cyclohexane,C6H12,0.916188759,2.240896945,21.81729533,"Angelis et al., 2025"
Cyclohexane,C6H12,0.797806933,1.516967233,22.31690867,"Angelis et al., 2025"
Cyclohexane,C6H12,0.976414807,2.208736457,14.77933994,"Angelis et al., 2025"
Cyclohexane,C6H12,0.797618726,2.225279389,32.42934323,"Angelis et al., 2025"
Ethane,C2H6,0.849644657,0.724333585,6.474837222,"Leverant et al., 2023"
Ethane,C2H6,0.836974262,0.855180942,9.137032916,"Leverant et al., 2023"
Ethane,C2H6,0.776607839,0.904108507,14.21109712,"Leverant et al., 2023"
Ethane,C2H6,0.760587799,0.942988865,16.21524505,"Leverant et al., 2023"
Ethane,C2H6,0.757966338,0.967335819,16.83180991,"Leverant et al., 2023"
Ethane,C2H6,0.736412103,1.018740138,19.6703885,"Leverant et al., 2023"
Ethane,C2H6,0.807774098,1.018740138,13.63146413,"Leverant et al., 2023"
Ethane,C2H6,0.764155899,1.042105738,17.50558493,"Leverant et al., 2023"
Ethane,C2H6,0.698255281,1.081593601,24.67524069,"Leverant et al., 2023"
Ethane,C2H6,0.718571604,1.172953095,25.34396124,"Leverant et al., 2023"
Ethane,C2H6,0.625582555,1.238376774,37.32130456,"Leverant et al., 2023"
Ethane,C2H6,0.685876159,1.238376774,29.86837694,"Leverant et al., 2023"
Ethane,C2H6,0.590411285,1.267910891,42.90375588,"Leverant et al., 2023"
Ethane,C2H6,0.650486435,1.327166052,37.46955561,"Leverant et al., 2023"
Ethane,C2H6,0.687041253,1.327166052,31.54688406,"Leverant et al., 2023"
Ethane,C2H6,0.530991501,1.338475002,56.25700261,"Leverant et al., 2023"
Ethane,C2H6,0.623179549,1.39258973,42.08295818,"Leverant et al., 2023"
Ethane,C2H6,0.449289298,1.39843113,77.69367686,"Leverant et al., 2023"
Ethane,C2H6,0.4607946,1.426049269,72.48948521,"Leverant et al., 2023"
Ethane,C2H6,0.848552382,0.867159928,8.503431871,"Angelis et al., 2025"
Ethane,C2H6,0.674662131,0.749103087,15.31540832,"Angelis et al., 2025"
Ethane,C2H6,0.84105209,0.784311064,7.735998112,"Angelis et al., 2025"
Ethane,C2H6,0.638908315,1.026471838,30.04908937,"Angelis et al., 2025"
Ethane,C2H6,0.798234893,1.233349571,18.39404406,"Angelis et al., 2025"
Ethane,C2H6,0.852921483,1.093936839,12.34243317,"Angelis et al., 2025"
Ethane,C2H6,0.599732036,1.267636579,41.17319375,"Angelis et al., 2025"
Ethane,C2H6,0.836901444,1.303629402,16.42131037,"Angelis et al., 2025"
Ethane,C2H6,0.792627879,0.79686342,11.02708271,"Angelis et al., 2025"
Ethane,C2H6,0.500771881,0.774318018,18.80371796,"Angelis et al., 2025"
Ethane,C2H6,0.847314469,0.857597585,8.482106436,"Angelis et al., 2025"
Ethane,C2H6,0.567327864,0.877371345,28.74175357,"Angelis et al., 2025"
Ethane,C2H6,0.777554478,1.288134014,20.52515787,"Angelis et al., 2025"
Ethane,C2H6,0.695925093,1.337259907,30.72026668,"Angelis et al., 2025"
Ethane,C2H6,0.545045445,0.994073981,39.22843082,"Angelis et al., 2025"
Ethane,C2H6,0.655874994,0.876589864,24.10972397,"Angelis et al., 2025"
Ethane,C2H6,0.639199589,1.049017843,30.16493945,"Angelis et al., 2025"
Ethane,C2H6,0.800273807,0.969818344,14.08129187,"Angelis et al., 2025"
Ethane,C2H6,0.809230466,1.031539159,13.72335078,"Angelis et al., 2025"
Ethane,C2H6,0.642403597,0.816019393,19.74548062,"Angelis et al., 2025"
Ethane,C2H6,0.50259234,1.030326349,44.69885815,"Angelis et al., 2025"
Ethane,C2H6,0.677065137,0.967851596,24.2646002,"Angelis et al., 2025"
Ethane,C2H6,0.54351626,1.095565299,46.62726957,"Angelis et al., 2025"
Ethane,C2H6,0.775078654,0.87044423,13.54783378,"Angelis et al., 2025"
Ethane,C2H6,0.631189569,1.068028623,31.21347024,"Angelis et al., 2025"
Ethane,C2H6,0.698109644,0.907912614,20.36965739,"Angelis et al., 2025"
Ethane,C2H6,0.590775377,1.119168943,40.19814409,"Angelis et al., 2025"
Ethane,C2H6,0.740854023,0.858191604,15.98549821,"Angelis et al., 2025"
Ethane,C2H6,0.559099389,1.358376366,53.51725805,"Angelis et al., 2025"
Ethane,C2H6,0.450964121,0.980340822,46.0482407,"Angelis et al., 2025"
n-Hexane,C6H14,0.86548612,0.570775209,3.789734327,"Leverant et al., 2023"
n-Hexane,C6H14,0.877723526,0.628278253,3.621373981,"Leverant et al., 2023"
n-Hexane,C6H14,0.811393237,0.685804297,7.275456549,"Leverant et al., 2023"
n-Hexane,C6H14,0.824517412,0.685804297,6.85833317,"Leverant et al., 2023"
n-Hexane,C6H14,0.800397307,0.708805515,8.313474254,"Leverant et al., 2023"
n-Hexane,C6H14,0.852007237,0.719938104,5.797526112,"Leverant et al., 2023"
n-Hexane,C6H14,0.794721988,0.720306123,8.834305188,"Leverant et al., 2023"
n-Hexane,C6H14,0.788159901,0.731806732,9.59403325,"Leverant et al., 2023"
n-Hexane,C6H14,0.835513342,0.765940539,7.663106646,"Leverant et al., 2023"
n-Hexane,C6H14,0.745062948,0.812587008,14.31075385,"Leverant et al., 2023"
n-Hexane,C6H14,0.850056347,0.851045043,7.719600066,"Leverant et al., 2023"
n-Hexane,C6H14,0.638828074,0.981760961,26.82269534,"Leverant et al., 2023"
n-Hexane,C6H14,0.635635708,1.01895393,30.89159036,"Leverant et al., 2023"
n-Hexane,C6H14,0.600164965,1.030155523,33.04297995,"Leverant et al., 2023"
n-Hexane,C6H14,0.549441803,1.082552296,41.55994073,"Leverant et al., 2023"
n-Hexane,C6H14,0.308418107,1.169864917,102.9423524,"Leverant et al., 2023"
n-Hexane,C6H14,0.488077418,1.021979149,46.95294694,"Angelis et al., 2025"
n-Hexane,C6H14,0.441788099,0.934300889,50.51738309,"Angelis et al., 2025"
n-Hexane,C6H14,0.720410782,1.11804667,22.6109669,"Angelis et al., 2025"
n-Hexane,C6H14,0.730165237,0.719723201,13.02919937,"Angelis et al., 2025"
n-Hexane,C6H14,0.579237227,1.097554297,39.25862492,"Angelis et al., 2025"
n-Hexane,C6H14,0.425648911,1.114067579,67.38721064,"Angelis et al., 2025"
n-Hexane,C6H14,0.507408973,0.947546096,39.69800436,"Angelis et al., 2025"
n-Hexane,C6H14,0.451719907,1.075896832,57.63166096,"Angelis et al., 2025"
n-Hexane,C6H14,0.799865246,0.897897895,11.83128289,"Angelis et al., 2025"
n-Hexane,C6H14,0.524257576,0.720332333,21.0557091,"Angelis et al., 2025"
n-Hexane,C6H14,0.523548161,0.889959147,38.62409609,"Angelis et al., 2025"
n-Hexane,C6H14,0.567709235,0.856667622,29.03351147,"Angelis et al., 2025"
n-Hexane,C6H14,0.358786561,1.073316116,76.86966139,"Angelis et al., 2025"
n-Hexane,C6H14,0.649824005,1.131429512,28.79584091,"Angelis et al., 2025"
n-Hexane,C6H14,0.626235961,0.564913956,8.00560467,"Angelis et al., 2025"
n-Hexane,C6H14,0.555826537,0.721581226,18.07636559,"Angelis et al., 2025"
n-Hexane,C6H14,0.574448677,0.821779916,27.29846309,"Angelis et al., 2025"
n-Hexane,C6H14,0.76137949,0.558747728,8.133185939,"Angelis et al., 2025"
n-Hexane,C6H14,0.486835942,0.516476208,5.032909539,"Angelis et al., 2025"
n-Hexane,C6H14,0.435580719,0.952977569,45.43025551,"Angelis et al., 2025"
n-Hexane,C6H14,0.492865969,0.877232819,37.27808437,"Angelis et al., 2025"
n-Hexane,C6H14,0.853248713,0.615719498,4.399642834,"Angelis et al., 2025"
n-Hexane,C6H14,0.660819935,1.036675896,29.06024718,"Angelis et al., 2025"
n-Hexane,C6H14,0.467327034,0.704052198,18.00669985,"Angelis et al., 2025"
n-Heptane,C7H16,0.933069523,0.559337329,0.55071249,"Leverant et al., 2023"
n-Heptane,C7H16,0.907874126,0.619230973,2.590641772,"Leverant et al., 2023"
n-Heptane,C7H16,0.897166082,0.645242633,3.223397266,"Leverant et al., 2023"
n-Heptane,C7H16,0.883938499,0.676154683,4.255353531,"Leverant et al., 2023"
n-Heptane,C7H16,0.901155353,0.725158573,3.775275086,"Leverant et al., 2023"
n-Heptane,C7H16,0.857483333,0.737929284,6.045413467,"Leverant et al., 2023"
n-Heptane,C7H16,0.853074138,0.750304003,6.598494208,"Leverant et al., 2023"
n-Heptane,C7H16,0.849084867,0.75708535,6.523518368,"Leverant et al., 2023"
n-Heptane,C7H16,0.843835826,0.769559067,7.487565956,"Leverant et al., 2023"
n-Heptane,C7H16,0.926980635,0.774657452,3.631244035,"Leverant et al., 2023"
n-Heptane,C7H16,0.856013601,0.799406891,6.914054345,"Leverant et al., 2023"
n-Heptane,C7H16,0.920051901,0.799406891,4.0568151,"Leverant et al., 2023"
n-Heptane,C7H16,0.819690238,0.82415633,9.718477819,"Leverant et al., 2023"
n-Heptane,C7H16,0.885828154,0.824527572,5.773327665,"Leverant et al., 2023"
n-Heptane,C7H16,0.815700966,0.832298896,10.20641284,"Leverant et al., 2023"
n-Heptane,C7H16,0.827878742,0.873655209,9.547249464,"Leverant et al., 2023"
n-Heptane,C7H16,0.788195992,0.892464783,11.7532383,"Leverant et al., 2023"
n-Heptane,C7H16,0.738645045,0.992229773,18.1435707,"Leverant et al., 2023"
n-Heptane,C7H16,0.749353089,0.850791962,14.98120291,"Angelis et al., 2025"
n-Heptane,C7H16,0.851394445,0.810492138,7.16708136,"Angelis et al., 2025"
n-Heptane,C7H16,0.78672626,0.720355482,9.472066872,"Angelis et al., 2025"
n-Heptane,C7H16,0.935379101,0.634512348,1.920840056,"Angelis et al., 2025"
n-Heptane,C7H16,0.831868013,0.889136753,9.138368935,"Angelis et al., 2025"
n-Heptane,C7H16,0.898635814,0.58047586,2.516699692,"Angelis et al., 2025"
n-Heptane,C7H16,0.936848832,0.846446722,3.888725618,"Angelis et al., 2025"
n-Heptane,C7H16,0.858323179,0.872513104,8.423908759,"Angelis et al., 2025"
n-Heptane,C7H16,0.743684124,0.734260343,12.91009164,"Angelis et al., 2025"
n-Heptane,C7H16,0.924881019,0.829531188,4.083091416,"Angelis et al., 2025"
n-Heptane,C7H16,0.902625085,0.735871529,3.864291276,"Angelis et al., 2025"
n-Heptane,C7H16,0.919212054,0.92086946,5.374352442,"Angelis et al., 2025"
n-Heptane,C7H16,0.894646543,0.76111296,4.482123025,"Angelis et al., 2025"
n-Heptane,C7H16,0.738855007,0.590345132,9.951994951,"Angelis et al., 2025"
n-Heptane,C7H16,0.857693294,0.766561046,6.737412844,"Angelis et al., 2025"
n-Heptane,C7H16,0.841106325,0.915324231,9.909949086,"Angelis et al., 2025"
n-Heptane,C7H16,0.900945392,0.655676816,3.147124526,"Angelis et al., 2025"
n-Heptane,C7H16,0.831028166,0.896333187,9.730243894,"Angelis et al., 2025"
n-Heptane,C7H16,0.783366874,0.567843222,6.848231985,"Angelis et al., 2025"
n-Heptane,C7H16,0.908294049,0.628413703,2.670654846,"Angelis et al., 2025"
n-Heptane,C7H16,0.861262642,0.813694007,6.436193787,"Angelis et al., 2025"
n-Heptane,C7H16,0.859792911,0.834806361,7.322352209,"Angelis et al., 2025"
n-Heptane,C7H16,0.787776069,0.581538302,7.35413565,"Angelis et al., 2025"
n-Heptane,C7H16,0.780427411,0.67912591,9.005709251,"Angelis et al., 2025"
n-Heptane,C7H16,0.871340801,0.640640963,4.121678881,"Angelis et al., 2025"
n-Heptane,C7H16,0.889397502,0.875705445,6.511000466,"Angelis et al., 2025"
n-Heptane,C7H16,0.894856504,0.543760958,2.146087103,"Angelis et al., 2025"
n-Heptane,C7H16,0.760061132,0.971518371,16.54312127,"Angelis et al., 2025"
n-Heptane,C7H16,0.836907092,0.656916219,5.725643105,"Angelis et al., 2025"
n-Heptane,C7H16,0.760061132,0.63814295,9.783980652,"Angelis et al., 2025"
n-Octane,C8H18,0.911161632,0.570957211,2.107393861,"Leverant et al., 2023"
n-Octane,C8H18,0.870932187,0.612895701,3.608743064,"Leverant et al., 2023"
n-Octane,C8H18,0.865991729,0.623348964,3.962499968,"Leverant et al., 2023"
n-Octane,C8H18,0.876813685,0.623348964,3.575269254,"Leverant et al., 2023"
n-Octane,C8H18,0.895634478,0.623348964,2.934134809,"Leverant et al., 2023"
n-Octane,C8H18,0.861051271,0.633802227,4.466968927,"Leverant et al., 2023"
n-Octane,C8H18,0.849053016,0.658660085,5.532963265,"Leverant et al., 2023"
n-Octane,C8H18,0.845759377,0.665162015,5.606889774,"Leverant et al., 2023"
n-Octane,C8H18,0.840113139,0.675615278,5.7560924,"Leverant et al., 2023"
n-Octane,C8H18,0.884812522,0.696187299,4.126601547,"Leverant et al., 2023"
n-Octane,C8H18,0.830702743,0.696521803,6.780852687,"Leverant et al., 2023"
n-Octane,C8H18,0.821292346,0.715358583,7.172824784,"Leverant et al., 2023"
n-Octane,C8H18,0.808823571,0.740091002,8.237185387,"Leverant et al., 2023"
n-Octane,C8H18,0.800354214,0.760286706,9.155948236,"Leverant et al., 2023"
n-Octane,C8H18,0.776592963,0.802099757,11.01281238,"Leverant et al., 2023"
n-Octane,C8H18,0.753537492,0.843912808,14.68196813,"Leverant et al., 2023"
n-Octane,C8H18,0.852111395,0.659888427,5.288364721,"Angelis et al., 2025"
n-Octane,C8H18,0.857287113,0.757393887,6.319038418,"Angelis et al., 2025"
n-Octane,C8H18,0.788826479,0.581109391,6.87214651,"Angelis et al., 2025"
n-Octane,C8H18,0.887400381,0.719747448,4.896179528,"Angelis et al., 2025"
n-Octane,C8H18,0.845994637,0.504770994,3.327882705,"Angelis et al., 2025"
n-Octane,C8H18,0.753066972,0.770781202,12.29161847,"Angelis et al., 2025"
n-Octane,C8H18,0.789296999,0.591847835,7.254671357,"Angelis et al., 2025"
n-Octane,C8H18,0.735892999,0.851800459,15.4788579,"Angelis et al., 2025"
n-Octane,C8H18,0.885047782,0.645651671,3.639588691,"Angelis et al., 2025"
n-Octane,C8H18,0.869050108,0.786710936,6.041996027,"Angelis et al., 2025"
n-Octane,C8H18,0.866462249,0.510734039,2.699232127,"Angelis et al., 2025"
n-Octane,C8H18,0.749067554,0.866435232,15.02901251,"Angelis et al., 2025"
n-Octane,C8H18,0.761536329,0.627229374,9.419867472,"Angelis et al., 2025"
n-Octane,C8H18,0.899163377,0.700782388,3.809799018,"Angelis et al., 2025"
n-Octane,C8H18,0.796354796,0.800187368,10.22760737,"Angelis et al., 2025"
n-Octane,C8H18,0.770711466,0.750022827,11.00876356,"Angelis et al., 2025"
n-Octane,C8H18,0.818939747,0.5601855,5.274939681,"Angelis et al., 2025"
n-Nonane,C9H20,0.925130159,0.530974721,0.960151933,"Leverant et al., 2023"
n-Nonane,C9H20,0.908909136,0.564009841,2.078516355,"Leverant et al., 2023"
n-Nonane,C9H20,0.930448527,0.589122967,1.73606807,"Leverant et al., 2023"
n-Nonane,C9H20,0.891092602,0.599497966,3.021715051,"Leverant et al., 2023"
n-Nonane,C9H20,0.876998926,0.629336139,3.673059447,"Leverant et al., 2023"
n-Nonane,C9H20,0.914227504,0.629336139,2.576271871,"Leverant et al., 2023"
n-Nonane,C9H20,0.869553211,0.644436185,4.303783606,"Leverant et al., 2023"
n-Nonane,C9H20,0.87965811,0.669549311,4.376255591,"Leverant et al., 2023"
n-Nonane,C9H20,0.882583213,0.709762483,4.638207004,"Leverant et al., 2023"
n-Nonane,C9H20,0.833654225,0.716096057,6.63029197,"Leverant et al., 2023"
n-Nonane,C9H20,0.831792796,0.719333218,7.51217912,"Leverant et al., 2023"
n-Nonane,C9H20,0.84960933,0.74022396,6.350749581,"Leverant et al., 2023"
n-Nonane,C9H20,0.79084136,0.797065279,9.685966639,"Leverant et al., 2023"
n-Nonane,C9H20,0.780470542,0.816327388,11.70797221,"Leverant et al., 2023"
n-Nonane,C9H20,0.735264412,0.894722967,17.0127762,"Leverant et al., 2023"
n-Nonane,C9H20,0.90146342,0.840475444,5.02931834,"Angelis et al., 2025"
n-Nonane,C9H20,0.852800351,0.556493296,3.839952277,"Angelis et al., 2025"
n-Nonane,C9H20,0.719841144,0.738980804,14.21542138,"Angelis et al., 2025"
n-Nonane,C9H20,0.846418309,0.866707125,8.70459216,"Angelis et al., 2025"
n-Nonane,C9H20,0.72223441,0.668854576,13.6315002,"Angelis et al., 2025"
n-Nonane,C9H20,0.91316383,0.533960587,0.317098148,"Angelis et al., 2025"
n-Nonane,C9H20,0.925130159,0.822014244,4.010830977,"Angelis et al., 2025"
n-Nonane,C9H20,0.726755023,0.825372143,16.32787964,"Angelis et al., 2025"
n-Nonane,C9H20,0.84455688,0.733831992,6.436188931,"Angelis et al., 2025"
n-Nonane,C9H20,0.842695451,0.631696365,5.47447808,"Angelis et al., 2025"
n-Nonane,C9H20,0.754410538,0.87961375,14.20489868,"Angelis et al., 2025"
n-Nonane,C9H20,0.855725453,0.602731736,4.216377893,"Angelis et al., 2025"
n-Nonane,C9H20,0.80759422,0.843488563,10.44402608,"Angelis et al., 2025"
n-Nonane,C9H20,0.809455649,0.880376256,10.80751976,"Angelis et al., 2025"
n-Nonane,C9H20,0.92991669,0.641751849,2.305126383,"Angelis et al., 2025"
n-Nonane,C9H20,0.884178723,0.691376763,4.270727453,"Angelis et al., 2025"
n-Nonane,C9H20,0.890028928,0.797135664,5.327000869,"Angelis et al., 2025"
n-Nonane,C9H20,0.883380968,0.694613721,4.093878805,"Angelis et al., 2025"
n-Nonane,C9H20,0.87141464,0.703647372,4.929122411,"Angelis et al., 2025"
n-Nonane,C9H20,0.860246066,0.707328705,5.223740249,"Angelis et al., 2025"
n-Nonane,C9H20,0.874605661,0.588054039,3.527885184,"Angelis et al., 2025"
n-Nonane,C9H20,0.875669334,0.519144874,2.394321309,"Angelis et al., 2025"
n-Nonane,C9H20,0.76744054,0.919167378,15.35874621,"Angelis et al., 2025"
n-Nonane,C9H20,0.714522776,0.709358574,14.33347401,"Angelis et al., 2025"
n-Nonane,C9H20,0.794564218,0.886443316,11.53548144,"Angelis et al., 2025"
n-Nonane,C9H20,0.900133828,0.69703805,3.468345135,"Angelis et al., 2025"
n-Nonane,C9H20,0.874339742,0.566688823,3.235605724,"Angelis et al., 2025"
n-Decane,C10H22,0.942740922,0.657683423,1.995194925,"Leverant et al., 2023"
n-Decane,C10H22,0.926095416,0.697144428,2.871823124,"Leverant et al., 2023"
n-Decane,C10H22,0.915805467,0.720140352,3.570537922,"Leverant et al., 2023"
n-Decane,C10H22,0.959689073,0.722072009,0.462509863,"Leverant et al., 2023"
n-Decane,C10H22,0.899765252,0.756542899,4.262811982,"Leverant et al., 2023"
n-Decane,C10H22,0.89583086,0.765810257,4.622327397,"Leverant et al., 2023"
n-Decane,C10H22,0.888264721,0.777262227,5.01486831,"Leverant et al., 2023"
n-Decane,C10H22,0.882817101,0.79027792,5.572976286,"Leverant et al., 2023"
n-Decane,C10H22,0.877672126,0.807386887,5.963758897,"Leverant et al., 2023"
n-Decane,C10H22,0.854671063,0.858322858,7.724488078,"Leverant et al., 2023"
n-Decane,C10H22,0.82289328,0.928414434,10.80556825,"Leverant et al., 2023"
n-Decane,C10H22,0.800800154,0.974245311,13.43409589,"Leverant et al., 2023"
n-Decane,C10H22,0.795049888,0.985835256,13.79861865,"Leverant et al., 2023"
