Fluid,Type,Rho_reduced,Temp_reduced,H_reduced,D_reduced,Ref.
Carbon Disulfide,CS2,0.921803233,0.72508061,23.72639282,3.391244066,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.926649811,0.71233194,23.72639282,1.044232282,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.93189365,0.778200069,23.72639282,3.445966531,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.785463434,0.831319527,35.58958923,13.53958617,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.805088102,0.831850722,35.58958923,11.41918452,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.806836049,0.778200069,35.58958923,9.928654402,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.816767561,0.71233194,35.58958923,9.018318511,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.831307294,0.831319527,35.58958923,9.770869731,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.842271684,0.71233194,35.58958923,7.35331947,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.858321008,0.72508061,35.58958923,6.295430037,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872463481,0.831850722,35.58958923,7.301624105,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872781289,0.778200069,35.58958923,6.957848758,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872781289,0.831319527,35.58958923,7.252439591,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872940194,0.752171534,35.58958923,6.052886557,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.887162119,0.792011128,35.58958923,6.097917608,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.899159386,0.752171534,35.58958923,4.678934998,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.921803233,0.72508061,35.58958923,3.537788574,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.926649811,0.71233194,35.58958923,2.496911915,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.93189365,0.778200069,35.58958923,3.819238507,"Leverant et al., 2023"
Cyclohexane,C6H12,0.678107662,2.282210673,5.932905815,50.27240997,"Leverant et al., 2023"
Cyclohexane,C6H12,0.815498334,2.015389472,5.932905815,26.60661951,"Leverant et al., 2023"
Cyclohexane,C6H12,0.883064432,1.837508671,5.932905815,17.47662455,"Leverant et al., 2023"
Cyclohexane,C6H12,0.904896375,1.77062549,5.932905815,15.37273106,"Leverant et al., 2023"
Cyclohexane,C6H12,0.942349448,1.65944999,5.932905815,10.78937794,"Leverant et al., 2023"
Cyclohexane,C6H12,0.968321932,1.570509589,5.932905815,7.762075042,"Leverant et al., 2023"
Cyclohexane,C6H12,0.981308173,1.532087336,5.932905815,7.127398708,"Leverant et al., 2023"
Cyclohexane,C6H12,0.989401048,1.505360746,5.932905815,5.967916433,"Leverant et al., 2023"
Cyclohexane,C6H12,0.995423653,1.486416441,5.932905815,5.48434781,"Leverant et al., 2023"
Cyclohexane,C6H12,0.678107662,2.282210673,8.899358723,49.55497163,"Leverant et al., 2023"
Cyclohexane,C6H12,0.815498334,2.015389472,8.899358723,28.73338272,"Leverant et al., 2023"
Cyclohexane,C6H12,0.883064432,1.837508671,8.899358723,18.58521873,"Leverant et al., 2023"
Cyclohexane,C6H12,0.904896375,1.77062549,8.899358723,14.5429318,"Leverant et al., 2023"
Cyclohexane,C6H12,0.942349448,1.65944999,8.899358723,10.90128386,"Leverant et al., 2023"
Cyclohexane,C6H12,0.968321932,1.570509589,8.899358723,8.497234412,"Leverant et al., 2023"
Cyclohexane,C6H12,0.981308173,1.532087336,8.899358723,7.265862224,"Leverant et al., 2023"
Cyclohexane,C6H12,0.989401048,1.505360746,8.899358723,6.729729191,"Leverant et al., 2023"
